Player,height,weight,collage,born
Jamie Feick,206,115,Michigan State University,1974
Derek Fisher,185,90,University of Arkansas at Little Rock,1974
Othella Harrington,206,106,Georgetown University,1974
Mark Hendrickson,206,99,Washington State University,1974
Kerry Kittles,196,81,Villanova University,1974
Travis Knight,213,106,University of Connecticut,1974
Walter McCarty,208,104,University of Kentucky,1974
Jeff McInnis,193,86,University of North Carolina,1974
Martin Muursepp,206,106,,1974
Steve Nash,190,88,Santa Clara University,1974
Chris Robinson,196,90,Western Kentucky University,1974
Malik Rose,201,113,Drexel University,1974
Jason Sasser,201,102,Texas Tech University,1974
Ben Wallace,206,108,Virginia Union University,1974
John Wallace,203,102,Syracuse University,1974
Tariq Abdul-Wahad,198,101,San Jose State University,1974
Derek Anderson,196,87,University of Kentucky,1974
Keith Booth,198,102,University of Maryland,1974
Kelvin Cato,211,115,Iowa State University,1974
William Cunningham,211,113,Temple University,1974
Kiwane Garris,188,83,University of Illinois at Urbana-Champaign,1974
Derek Grimm,206,104,University of Missouri,1974
Jerald Honeycutt,206,111,Tulane University,1974
Jason Lawson,211,108,Villanova University,1974
Johnny Taylor,206,99,University of Tennessee at Chattanooga,1974
Eric Washington,193,86,University of Alabama,1974
Bubba Wells,196,104,Austin Peay State University,1974
Bryce Drew,188,83,Valparaiso University,1974
Paul Grant,213,111,University of Wisconsin,1974
Jonathan Kerner,211,111,East Carolina University,1974
Felipe Lopez,196,90,St. John's University,1974
Jeffrey Sheppard,190,86,University of Kentucky,1974
Alvin Sims,193,106,University of Louisville,1974
Trevor Winter,213,124,University of Minnesota,1974
Chucky Atkins,180,72,University of South Florida,1974
Adrian Griffin,196,98,Seton Hall University,1974
Dedric Willoughby,190,81,Iowa State University,1974
Metta World,190,81,,1974
Mike Penberthy,190,83,Master's College,1974
Horace Jenkins,185,81,William Paterson University,1974
Ibo Kutluay,198,90,,1974
Markel Brown,190,83,Murray State University,1974
Chris Webber,206,111,University of Michigan,1973
Juwan Howard,206,108,University of Michigan,1973
Jason Kidd,193,92,University of California,1973
Donyell Marshall,206,98,University of Connecticut,1973
Lamond Murray,201,107,University of California,1973
Glenn Robinson,201,102,Purdue University,1973
Jalen Rose,203,95,University of Michigan,1973
Sharone Wright,211,117,Clemson University,1973
Cory Alexander,185,83,University of Virginia,1973
Jerome Allen,193,83,University of Pennsylvania,1973
Mario Bennett,198,106,Arizona State University,1973
Donnie Boyce,196,88,University of Colorado,1973
Junior Burrough,203,109,University of Virginia,1973
Jason Caffey,203,115,University of Alabama,1973
Andrew DeClercq,208,104,University of Florida,1973
Tyus Edney,178,68,University of California; Los Angeles,1973
Michael Finley,201,97,University of Wisconsin,1973
Voshon Lenard,193,92,University of Minnesota,1973
Donny Marshall,206,98,University of Connecticut,1973
Greg Ostertag,218,127,University of Kansas,1973
Cherokee Parks,196,95,Idaho State University,1973
Theo Ratliff,208,102,University of Wyoming,1973
Bryant Reeves,213,124,Oklahoma State University,1973
Don Reid,203,113,Georgetown University,1973
Terrence Rencher,190,83,University of Texas at Austin,1973
Eric Snow,190,86,Michigan State University,1973
Damon Stoudamire,178,77,University of Arizona,1973
Bob Sura,196,90,Florida State University,1973
Larry Sykes,206,115,Xavier University,1973
George Zidek,213,113,University of California; Los Angeles,1973
Shandon Anderson,198,94,University of Georgia,1973
Nate Driggers,196,97,University of Montevallo,1973
Brian Evans,203,99,Indiana University,1973
Reggie Geary,188,84,University of Arizona,1973
Darvin Ham,201,99,Texas Tech University,1973
Steve Hamer,213,111,University of Tennessee,1973
Priest Lauderdale,224,147,Central State University,1973
Horacio Llamas,211,129,Grand Canyon University,1973
Amal McCaskill,211,106,Marquette University,1973
Moochie Norris,185,79,University of West Florida,1973
Joe Stephens,201,95,University of Arkansas at Little Rock,1973
Erick Strickland,190,95,University of Nebraska,1973
Jerome Williams,206,93,Georgetown University,1973
Drew Barry,196,86,Georgia Institute of Technology,1973
Etdrick Bohannon,206,99,Auburn University at Montgomery,1973
James Collins,193,88,Florida State University,1973
Bobby Jackson,185,83,University of Minnesota,1973
Rusty LaRue,188,95,Wake Forest University,1973
Jeff Nordgaard,201,102,University of Wisconsin-Green Bay,1973
Rodrick Rhodes,198,102,University of Southern California,1973
Kebu Stewart,203,108,California State University; Bakersfield,1973
DeJuan Wheat,183,74,University of Louisville,1973
Peter Aluma,208,117,Liberty University,1973
Makhtar N'Diaye,203,111,University of North Carolina,1973
Ira Bowman,196,88,University of Pennsylvania,1973
A.J. Bramlett,196,88,,1973
Jamel Thomas,198,97,Providence College,1973
Courtney Alexander,185,83,University of Virginia,1973
Jason Collier,193,88,Florida State University,1973
Ruben Garces,206,111,Providence College,1973
Garth Joseph,218,142,College of Saint Rose,1973
Mamadou N'Diaye,203,111,University of North Carolina,1973
Dragan Tarlac,208,117,,1973
David Vanterpool,196,90,St. Bonaventure University,1973
Ruben Wolkowyski,208,122,,1973
Jarron Collins,193,88,Florida State University,1973
Jason Collins,193,88,Florida State University,1973
Pat Burke,211,113,Auburn University,1973
Juaquin Hawkins,201,99,California State University; Long Beach,1973
Ben Handlogten,208,108,Western Michigan University,1973
James Thomas,198,97,Providence College,1973
Shaquille O'Neal*,216,147,Louisiana State University,1972
Shawn Bradley,229,106,Brigham Young University,1972
P.J. Brown,229,106,,1972
Jamal Mashburn,203,108,University of Kentucky,1972
Derrick Alston,211,102,Duquesne University,1972
Bill Curley,206,99,Boston College,1972
Yinka Dare,213,120,George Washington University,1972
Tony Dumas,198,86,University of Missouri-Kansas City,1972
Howard Eisley,188,80,Boston College,1972
Brian Grant,206,115,Xavier University,1972
Grant Hill,203,102,Duke University,1972
Ryan Lorthridge,193,86,Jackson State University,1972
Jim McIlvaine,216,108,Marquette University,1972
Aaron McKie,196,94,Temple University,1972
Derrick Phelps,193,82,University of North Carolina,1972
Khalid Reeves,190,90,University of Arizona,1972
Clifford Rozier,211,111,University of Louisville,1972
Dickey Simpkins,206,112,Providence College,1972
Jamie Watson,201,86,University of South Carolina,1972
Travis Best,180,82,Georgia Institute of Technology,1972
Melvin Booker,185,83,University of Missouri,1972
Randolph Childress,188,85,Wake Forest University,1972
Robert Churchwell,198,88,Georgetown University,1972
Sherell Ford,201,95,University of Illinois at Chicago,1972
Alan Henderson,206,106,Indiana University,1972
Fred Hoiberg,193,92,Iowa State University,1972
Frankie King,185,83,Western Carolina University,1972
Clint McDaniel,193,81,University of Arkansas,1972
Loren Meyer,208,116,Iowa State University,1972
Lawrence Moten,196,83,Syracuse University,1972
Howard Nathan,180,79,University of Louisiana at Monroe,1972
Ed O'Bannon,203,100,University of California; Los Angeles,1972
Shawn Respert,185,88,Michigan State University,1972
Lou Roe,201,99,University of Massachusetts Amherst,1972
Kurt Thomas,206,104,Texas Christian University,1972
Dwayne Whitfield,206,108,Jackson State University,1972
Eric Williams,203,99,Providence College,1972
Ben Davis,206,108,University of Arizona,1972
Devin Gray,201,108,Clemson University,1972
Michael Hawkins,183,80,Xavier University,1972
Ruben Nembhard,190,94,Weber State University,1972
Ray Owes,206,101,University of Arizona,1972
James Scott,198,81,St. John's University,1972
Shawnelle Scott,208,113,St. John's University,1972
Rick Brunson,193,86,Temple University,1972
Kevin Ollie,193,88,University of Connecticut,1972
Mark Pope,208,106,University of Kentucky,1972
Lazaro Borrell,203,99,,1972
Art Long,206,113,University of Cincinnati,1972
Zeljko Rebraca,213,116,,1972
Sharrod Ford,201,95,University of Illinois at Chicago,1972
Harold Miner,196,95,University of Southern California,1971
Tracy Murray,201,102,University of California; Los Angeles,1971
Vin Baker,211,105,University of Hartford,1971
Evers Burns,203,117,University of Maryland,1971
Scott Burrell,201,98,University of Connecticut,1971
Calbert Cheaney,201,94,Indiana University,1971
Terry Dehere,188,86,Seton Hall University,1971
Bill Edwards,203,97,Wright State University,1971
Doug Edwards,201,99,Florida State University,1971
Alphonso Ford,185,86,Mississippi Valley State University,1971
Anfernee Hardaway,201,88,University of Memphis,1971
Allan Houston,198,90,University of Tennessee,1971
Bobby Hurley,183,74,Duke University,1971
Darnell Mee,196,79,Western Kentucky University,1971
Gheorghe Muresan,231,137,,1971
Bo Outlaw,203,95,University of Houston,1971
Isaiah Rider,196,97,University of Nevada; Las Vegas,1971
Rodney Rogers,201,106,Wake Forest University,1971
Kevin Thompson,211,117,North Carolina State University,1971
Chris Whitney,183,76,Clemson University,1971
Aaron Williams,206,99,Xavier University,1971
Luther Wright,218,122,Seton Hall University,1971
Darrin Hancock,201,92,University of Kansas,1971
Askia Jones,196,90,Kansas State University,1971
Darrick Martin,180,77,University of California; Los Angeles,1971
Anthony Miller,206,102,Michigan State University,1971
Greg Minor,198,95,University of Louisville,1971
Eric Montross,213,122,University of North Carolina,1971
Dwayne Morton,201,88,University of Louisville,1971
Julius Nwosu,208,115,Liberty University,1971
Wesley Person,198,88,Auburn University,1971
Carlos Rogers,211,99,Tennessee State University,1971
Aaron Swinson,196,104,Auburn University,1971
Fred Vinson,193,86,Georgia Institute of Technology,1971
Monty Williams,203,102,University of Notre Dame,1971
Ashraf Amaya,203,104,Southern Illinois University,1971
Brent Barry,198,83,Oregon State University,1971
Corey Beck,185,86,University of Arkansas,1971
John Coker,213,114,Boise State University,1971
Anthony Goldwire,185,82,University of Houston,1971
Cuonzo Martin,196,96,Purdue University,1971
Logan Vander,203,97,University of Wisconsin-Green Bay,1971
Jeff Webster,203,105,University of Oklahoma,1971
Bruce Bowen,201,83,California State University; Fullerton,1971
Matt Maloney,190,87,University of Pennsylvania,1971
Roy Rogers,201,106,Wake Forest University,1971
Brent Scott,208,113,Rice University,1971
Ed Stokes,213,119,University of Arizona,1971
Kornel David,206,106,,1971
Andre Miller,206,102,Michigan State University,1971
Alton Ford,185,86,Mississippi Valley State University,1971
Antoine Rigaudeau,201,95,,1971
Mo Williams,203,102,University of Notre Dame,1971
Kenny Anderson,183,76,Georgia Institute of Technology,1970
Terrell Brandon,180,81,University of Oregon,1970
Sean Green,196,95,Iona College,1970
Stanley Roberts,213,129,Louisiana State University,1970
Eric Anderson,206,99,Indiana University,1970
Alex Blackwell,198,113,Monmouth University,1970
Dexter Cambridge,201,101,University of Texas at Austin,1970
Doug Christie,198,90,Pepperdine University,1970
Hubert Davis,196,83,University of North Carolina,1970
Todd Day,198,85,University of Arkansas,1970
Richard Dumas,190,77,Northeastern State University,1970
LaPhonso Ellis,203,108,University of Notre Dame,1970
Litterial Green,185,83,University of Georgia,1970
Robert Horry,206,99,University of Alabama,1970
Stephen Howard,206,102,DePaul University,1970
Jim Jackson,198,99,Ohio State University,1970
Dave Johnson,201,95,Syracuse University,1970
Adam Keefe,206,104,Stanford University,1970
Sam Mack,201,99,University of Houston,1970
Don MacLean,208,106,University of California; Los Angeles,1970
Lee Mayberry,185,78,University of Arkansas,1970
Oliver Miller,206,127,University of Arkansas,1970
Alonzo Mourning*,208,108,Georgetown University,1970
Malik Sealy,203,86,St. John's University,1970
Reggie Smith,208,108,Texas Christian University,1970
Latrell Sprewell,196,86,University of Alabama,1970
Bryant Stith,196,94,University of Virginia,1970
Clarence Weatherspoon,198,108,University of Southern Mississippi,1970
Marcus Webb,206,115,University of Alabama,1970
Robert Werdann,211,113,St. John's University,1970
Corey Williams,188,86,Oklahoma State University,1970
Randy Woods,178,83,La Salle University,1970
Dell Demps,190,92,University of the Pacific,1970
Acie Earl,208,108,University of Iowa,1970
Harold Ellis,196,90,Morehouse College,1970
Greg Graham,193,78,Indiana University,1970
Lucious Harris,196,86,California State University; Long Beach,1970
Antonio Harvey,211,102,Pfeiffer University,1970
Scott Haskin,211,113,Oregon State University,1970
Lindsey Hunter,188,77,Jackson State University,1970
Stanley Jackson,190,83,University of Alabama at Birmingham,1970
Chris Jent,201,99,Ohio State University,1970
Popeye Jones,203,113,Murray State University,1970
Adonis Jordan,180,77,University of Kansas,1970
Warren Kidd,206,106,Middle Tennessee State University,1970
George Lynch,203,98,University of North Carolina,1970
Malcolm Mackey,206,112,Georgia Institute of Technology,1970
Chris Mills,198,97,University of Arizona,1970
Mike Peplowski,208,122,Michigan State University,1970
Eric Riley,213,111,University of Michigan,1970
Bryon Russell,201,102,California State University; Long Beach,1970
Keith Tower,211,113,University of Notre Dame,1970
Nick Van,211,113,,1970
Rex Walters,193,86,University of Kansas,1970
Matt Wenstrom,216,113,University of North Carolina,1970
David Wesley,183,86,Baylor University,1970
Elmer Bennett,183,77,University of Notre Dame,1970
Tim Breaux,201,97,University of Wyoming,1970
Eric Mobley,211,106,University of Pittsburgh,1970
Ivano Newbill,206,111,Georgia Institute of Technology,1970
Eric Piatkowski,201,97,University of Nebraska,1970
Trevor Ruffin,185,83,University of Hawaii,1970
Reggie Slater,201,97,University of Wyoming,1970
Mark Strickland,206,95,Temple University,1970
Zan Tabak,213,111,,1970
Brooks Thompson,193,87,Oklahoma State University,1970
Charlie Ward,188,86,Florida State University,1970
John Amaechi,208,122,Pennsylvania State University,1970
Marques Bragg,203,104,Providence College,1970
Charles Claxton,213,120,University of Georgia,1970
Rastko Cvetkovic,216,117,,1970
Sasha Danilovic,196,90,,1970
Darryl Johnson,201,95,Syracuse University,1970
Rich Manning,211,114,University of Washington,1970
Todd Mundt,213,113,Delta State University,1970
Corliss Williamson,188,86,Oklahoma State University,1970
Dexter Boney,193,83,University of Nevada; Las Vegas,1970
Shane Heal,183,81,,1970
Kevin Salvadori,213,104,University of North Carolina,1970
Matt Steigenga,201,102,Michigan State University,1970
Tony Farmer,206,110,University of Nebraska,1970
Lawrence Funderburke,206,104,Ohio State University,1970
Stephen Jackson,190,83,University of Alabama at Birmingham,1970
Darius Johnson-Odom,201,95,Syracuse University,1970
