"StationID","Date","pH","PrecipAmt","PrecipType"
"Mt. Mansfield","1986-08-09","4.34","1.10","Rain"
"Mt. Mansfield","1986-08-11","4.21","0.28","Rain"
"Mt. Mansfield","1986-08-16","3.96","0.55","Rain"
"Mt. Mansfield","1986-08-22","4.44","1.22","Rain"
"Mt. Mansfield","1986-08-23","3.87","0.48","Rain"
"Mt. Mansfield","1986-08-24","4.64","1.26","Rain"
"Mt. Mansfield","1986-08-28","4.60","3.73","Rain"
"Mt. Mansfield","1986-09-06","4.06","0.35","Rain"
"Mt. Mansfield","1986-09-11","3.80","1.02","Rain"
"Mt. Mansfield","1986-09-12","3.92","0.52","Rain"
"Mt. Mansfield","1986-09-13","4.50","0.09","Rain"
"Mt. Mansfield","1986-09-16","5.00","0.47","Snow"
"Mt. Mansfield","1986-09-20","3.82","0.18","Rain"
"Mt. Mansfield","1986-09-25","4.42","1.09","Rain"
"Mt. Mansfield","1986-10-16","4.33","6.09","Rain"
"Mt. Mansfield","1986-10-23","4.00","0.46","Rain"
"Mt. Mansfield","1986-10-30","4.26","1.57","Rain"
"Mt. Mansfield","1986-11-02","4.70","0.70","Rain"
"Mt. Mansfield","1986-11-04","4.60","0.23","Rain"
"Mt. Mansfield","1986-11-08","4.18","0.55","Mixed"
"Mt. Mansfield","1986-11-09","4.67","1.20","Rain"
"Mt. Mansfield","1986-11-13","4.66","0.56","Snow"
"Mt. Mansfield","1986-11-20","4.42","0.09","Snow"
"Mt. Mansfield","1986-11-21","4.92","1.30","Snow"
"Mt. Mansfield","1986-11-27","4.44","1.07","Snow"
"Mt. Mansfield","1986-11-29","4.14","0.05","Snow"
"Mt. Mansfield","1986-12-03","4.75","1.47",""
"Mt. Mansfield","1986-12-04","4.64","0.27",""
"Mt. Mansfield","1986-12-06","4.70","0.09",""
"Mt. Mansfield","1986-12-12","4.14","0.10",""
"Mt. Mansfield","1986-12-21","4.44","0.38","Snow"
"Mt. Mansfield","1986-12-26","4.90","0.70","Snow"
"Mt. Mansfield","1987-01-03","5.16","0.54","Snow"
"Mt. Mansfield","1987-01-08","4.17","0.82","Snow"
"Mt. Mansfield","1987-01-15","4.30","1.00","Snow"
"Mt. Mansfield","1987-01-23","5.04","0.86","Snow"
"Mt. Mansfield","1987-01-31","4.80","0.10","Snow"
"Mt. Mansfield","1987-02-07","4.36","0.16","Snow"
"Mt. Mansfield","1987-03-02","4.60","1.21",""
"Mt. Mansfield","1987-03-03","4.18","0.25",""
"Mt. Mansfield","1987-03-21","4.83","0.06","Snow"
"Mt. Mansfield","1987-03-28","3.90","0.29","Mixed"
"Mt. Mansfield","1987-03-31","4.35","0.89","Rain"
"Mt. Mansfield","1987-04-05","4.24","0.48","Mixed"
"Mt. Mansfield","1987-04-09","4.85","0.84","Snow"
"Mt. Mansfield","1987-04-24","4.20","0.40","Rain"
"Mt. Mansfield","1987-04-29","4.56","0.30","Snow"
"Mt. Mansfield","1987-05-02","5.06","2.03","Snow"
"Mt. Mansfield","1987-05-07","5.06","0.19","Rain"
"Mt. Mansfield","1987-05-12","4.50","0.45","Rain"
"Mt. Mansfield","1987-05-15","4.40","0.86","Rain"
"Mt. Mansfield","1987-05-23","4.06","1.00","Rain"
"Mt. Mansfield","1987-05-24","4.24","0.43","Rain"
"Mt. Mansfield","1987-05-29","4.12","0.87","Rain"
"Mt. Mansfield","1987-05-31","4.03","0.96","Rain"
"Mt. Mansfield","1987-06-04","4.20","0.65","Rain"
"Mt. Mansfield","1987-06-05","4.93","0.49","Rain"
"Mt. Mansfield","1987-06-11","4.65","2.88","Rain"
"Mt. Mansfield","1987-06-12","4.10","0.31","Rain"
"Mt. Mansfield","1987-06-17","4.58","0.58","Rain"
"Mt. Mansfield","1987-06-23","4.44","1.60","Rain"
"Mt. Mansfield","1987-06-27","4.50","0.69","Rain"
"Mt. Mansfield","1987-06-28","4.23","0.52","Rain"
"Mt. Mansfield","1987-06-30","4.25","0.18","Rain"
"Mt. Mansfield","1987-07-03","4.31","0.38","Rain"
"Mt. Mansfield","1987-07-04","4.56","0.89","Rain"
"Mt. Mansfield","1987-07-09","4.06","0.34","Rain"
"Mt. Mansfield","1987-07-15","4.22","2.14","Rain"
"Mt. Mansfield","1987-07-18","4.20","0.82","Rain"
"Mt. Mansfield","1987-07-21","4.74","1.98","Rain"
"Mt. Mansfield","1987-07-24","4.16","0.55","Rain"
"Mt. Mansfield","1987-07-26","4.33","0.43","Rain"
"Mt. Mansfield","1987-07-27","4.70","0.18","Rain"
"Mt. Mansfield","1987-08-03","4.36","1.25","Rain"
"Mt. Mansfield","1987-08-10","4.56","1.20","Rain"
"Mt. Mansfield","1987-08-19","4.28","0.47","Rain"
"Mt. Mansfield","1987-08-22","4.38","0.22","Rain"
"Mt. Mansfield","1987-08-29","4.80","1.08","Rain"
"Mt. Mansfield","1987-09-03","4.36","0.38","Rain"
"Mt. Mansfield","1987-09-09","4.76","1.18","Rain"
"Mt. Mansfield","1987-09-13","4.50","2.00","Rain"
"Mt. Mansfield","1987-09-14","4.63","0.25","Rain"
"Mt. Mansfield","1987-09-20","4.70","0.74","Rain"
"Mt. Mansfield","1987-09-21","5.45","0.13","Rain"
"Mt. Mansfield","1987-09-22","6.00","0.20","Rain"
"Mt. Mansfield","1987-09-26","4.66","0.28","Rain"
"Mt. Mansfield","1987-10-03","4.14","0.29","Rain"
"Mt. Mansfield","1987-10-04","5.05","1.90","Rain"
"Mt. Mansfield","1987-10-08","4.76","0.94","Rain"
"Mt. Mansfield","1987-10-09","4.94","0.20","Snow"
"Mt. Mansfield","1987-10-11","4.98","0.32","Rain"
"Mt. Mansfield","1987-10-21","3.98","0.86","Rain"
"Mt. Mansfield","1987-10-22","4.58","0.15","Rain"
"Mt. Mansfield","1987-10-25","4.10","0.48","Mixed"
"Mt. Mansfield","1987-10-28","4.85","1.89",""
"Mt. Mansfield","1987-10-31","3.98","0.28",""
"Mt. Mansfield","1987-11-06","5.60","0.64","Snow"
"Mt. Mansfield","1987-11-13","4.20","0.20","Snow"
"Mt. Mansfield","1987-11-18","5.12","0.44","Snow"
"Mt. Mansfield","1987-11-21","5.12","0.65","Snow"
"Mt. Mansfield","1987-11-26","4.88","1.05","Snow"
"Mt. Mansfield","1987-11-30","4.20","1.02","Snow"
"Mt. Mansfield","1987-12-03","4.75","0.40","Snow"
"Mt. Mansfield","1987-12-24","4.08","0.72","Snow"
"Mt. Mansfield","1987-12-25","4.02","0.40","Snow"
"Mt. Mansfield","1987-12-27","4.39","0.12","Snow"
"Mt. Mansfield","1988-01-06","4.45","0.36","Snow"
"Mt. Mansfield","1988-01-09","4.65","0.17","Snow"
"Mt. Mansfield","1988-01-18","4.90","0.20","Snow"
"Mt. Mansfield","1988-01-26","4.88","0.80","Snow"
"Mt. Mansfield","1988-01-28","4.06","0.05","Snow"
"Mt. Mansfield","1988-02-04","4.70","0.65","Snow"
"Mt. Mansfield","1988-02-20","4.02","0.12","Snow"
"Mt. Mansfield","1988-02-24","4.41","0.30","Snow"
"Mt. Mansfield","1988-03-03","4.14","0.26","Snow"
"Mt. Mansfield","1988-03-16","4.63","0.83","Snow"
"Mt. Mansfield","1988-03-20","5.12","0.17","Snow"
"Mt. Mansfield","1988-03-27","4.65","1.01","Rain"
"Mt. Mansfield","1988-04-03","4.14","0.01","Rain"
"Mt. Mansfield","1988-04-05","4.12","0.94","Rain"
"Mt. Mansfield","1988-04-15","4.30","0.23","Rain"
"Mt. Mansfield","1988-04-17","4.68","1.60","Rain"
"Mt. Mansfield","1988-04-21","5.00","0.40","Snow"
"Mt. Mansfield","1988-04-24","4.42","2.24","Snow"
"Mt. Mansfield","1988-04-30","4.51","1.62","Snow"
"Mt. Mansfield","1988-05-01","4.77","0.50","Rain"
"Mt. Mansfield","1988-05-05","4.40","0.06","Rain"
"Mt. Mansfield","1988-05-13","4.10","0.50","Rain"
"Mt. Mansfield","1988-05-15","4.05","0.29","Rain"
"Mt. Mansfield","1988-05-17","4.19","0.33","Rain"
"Mt. Mansfield","1988-05-22","4.66","1.09","Rain"
"Mt. Mansfield","1988-05-25","4.28","0.14","Mixed"
"Mt. Mansfield","1988-05-26","4.82","0.50","Mixed"
"Mt. Mansfield","1988-05-30","4.66","0.24","Rain"
"Mt. Mansfield","1988-06-10","6.22","0.10","Rain"
"Mt. Mansfield","1988-06-25","4.95","2.85","Rain"
"Mt. Mansfield","1988-06-26","4.22","0.35","Rain"
"Mt. Mansfield","1988-06-30","4.98","1.59","Rain"
"Mt. Mansfield","1988-07-02","4.52","0.70","Rain"
"Mt. Mansfield","1988-07-14","4.23","1.20","Rain"
"Mt. Mansfield","1988-07-17","4.08","0.12","Rain"
"Mt. Mansfield","1988-07-21","4.55","0.94","Rain"
"Mt. Mansfield","1988-07-23","4.74","0.08","Rain"
"Mt. Mansfield","1988-07-26","4.02","0.14","Rain"
"Mt. Mansfield","1988-07-31","4.17","1.07","Rain"
"Mt. Mansfield","1988-09-14","4.80","0.43","Rain"
"Mt. Mansfield","1988-09-18","4.29","0.82","Rain"
"Mt. Mansfield","1988-09-22","4.45","1.27","Rain"
"Mt. Mansfield","1988-09-23","4.07","0.19","Rain"
"Mt. Mansfield","1988-10-03","4.69","0.46","Rain"
"Mt. Mansfield","1988-10-06","4.65","0.24","Mixed"
"Mt. Mansfield","1988-10-18","4.35","0.18","Rain"
"Mt. Mansfield","1988-10-24","4.30","0.37","Rain"
"Mt. Mansfield","1988-11-03","4.71","3.42","Snow"
"Mt. Mansfield","1988-11-06","4.49","1.09","Rain"
"Mt. Mansfield","1988-11-07","5.84","0.20","Snow"
"Mt. Mansfield","1988-11-08","4.44","0.42","Snow"
"Mt. Mansfield","1988-11-13","4.53","0.70","Snow"
"Mt. Mansfield","1988-11-21","4.91","2.05","Snow"
"Mt. Mansfield","1988-11-28","4.23","0.95","Snow"
"Mt. Mansfield","1988-12-02","4.53","0.30","Snow"
"Mt. Mansfield","1988-12-04","4.54","0.69","Snow"
"Mt. Mansfield","1988-12-14","4.49","0.23","Snow"
"Mt. Mansfield","1988-12-15","4.30","0.40","Snow"
"Mt. Mansfield","1988-12-18","3.91","0.02","Snow"
"Mt. Mansfield","1988-12-20","3.91","0.13","Rain"
"Mt. Mansfield","1988-12-25","4.71","1.02","Snow"
"Mt. Mansfield","1988-12-30","4.36","0.93","Snow"
"Mt. Mansfield","1989-01-03","4.04","0.36","Snow"
"Mt. Mansfield","1989-01-13","4.36","0.20","Snow"
"Mt. Mansfield","1989-01-19","4.24","0.97","Snow"
"Mt. Mansfield","1989-01-21","4.37","0.80","Snow"
"Mt. Mansfield","1989-01-27","4.39","0.86","Snow"
"Mt. Mansfield","1989-01-30","4.17","0.39","Snow"
"Mt. Mansfield","1989-02-03","3.97","0.16","Snow"
"Mt. Mansfield","1989-02-12","4.27","0.24","Snow"
"Mt. Mansfield","1989-02-14","5.54","0.79","Snow"
"Mt. Mansfield","1989-02-21","4.21","0.76","Mixed"
"Mt. Mansfield","1989-03-01","4.22","0.08","Snow"
"Mt. Mansfield","1989-03-05","4.30","0.93","Mixed"
"Mt. Mansfield","1989-03-12","4.06","0.12","Snow"
"Mt. Mansfield","1989-03-17","4.14","0.37","Snow"
"Mt. Mansfield","1989-03-18","4.23","0.71","Snow"
"Mt. Mansfield","1989-03-21","3.93","0.50","Snow"
"Mt. Mansfield","1989-03-26","4.28","0.66","Rain"
"Mt. Mansfield","1989-03-31","4.13","1.51","Mixed"
"Mt. Mansfield","1989-04-01","4.32","0.76","Snow"
"Mt. Mansfield","1989-04-07","4.13","2.06","Snow"
"Mt. Mansfield","1989-04-11","4.20","0.37","Snow"
"Mt. Mansfield","1989-04-13","4.27","0.45","Snow"
"Mt. Mansfield","1989-04-20","3.92","0.46","Snow"
"Mt. Mansfield","1989-04-23","5.82","0.13","Snow"
"Mt. Mansfield","1989-05-03","4.48","2.74",""
"Mt. Mansfield","1989-05-06","4.56","1.77",""
"Mt. Mansfield","1989-05-07","3.98","0.53",""
"Mt. Mansfield","1989-05-12","4.31","0.96",""
"Mt. Mansfield","1989-05-22","3.93","0.58",""
"Mt. Mansfield","1989-05-24","4.11","0.45",""
"Mt. Mansfield","1989-05-26","3.67","0.22",""
"Mt. Mansfield","1989-05-27","4.32","0.61",""
"Mt. Mansfield","1989-05-31","3.73","0.30",""
"Mt. Mansfield","1989-06-01","4.05","0.16","Rain"
"Mt. Mansfield","1989-06-02","4.79","1.52","Rain"
"Mt. Mansfield","1989-06-04","3.89","0.22","Rain"
"Mt. Mansfield","1989-06-06","4.23","0.48","Rain"
"Mt. Mansfield","1989-06-10","4.23","1.10","Rain"
"Mt. Mansfield","1989-06-11","4.59","3.25","Rain"
"Mt. Mansfield","1989-06-15","4.38","0.96","Rain"
"Mt. Mansfield","1989-06-17","3.74","0.14","Rain"
"Mt. Mansfield","1989-06-18","3.68","0.16","Rain"
"Mt. Mansfield","1989-06-20","3.89","0.52","Rain"
"Mt. Mansfield","1989-06-28","3.93","0.52","Rain"
"Mt. Mansfield","1989-07-10","4.53","1.13","Rain"
"Mt. Mansfield","1989-07-11","4.69","0.62","Rain"
"Mt. Mansfield","1989-07-28","4.28","2.69","Rain"
"Mt. Mansfield","1989-07-30","4.90","0.62","Rain"
"Mt. Mansfield","1989-08-01","3.90","0.54","Rain"
"Mt. Mansfield","1989-08-03","4.14","0.40","Rain"
"Mt. Mansfield","1989-08-05","4.39","3.56","Rain"
"Mt. Mansfield","1989-08-12","4.72","0.40","Rain"
"Mt. Mansfield","1989-08-13","5.81","0.64","Rain"
"Mt. Mansfield","1989-08-14","4.29","0.42","Rain"
"Mt. Mansfield","1989-08-16","3.53","0.30","Rain"
"Mt. Mansfield","1989-08-20","4.31","0.93","Rain"
"Mt. Mansfield","1989-08-21","4.35","0.93","Rain"
"Mt. Mansfield","1989-08-23","4.06","0.39","Rain"
"Mt. Mansfield","1989-08-30","3.88","0.11","Rain"
"Mt. Mansfield","1989-09-02","4.14","2.07","Rain"
"Mt. Mansfield","1989-09-11","3.81","0.16","Rain"
"Mt. Mansfield","1989-09-14","3.93","0.73","Rain"
"Mt. Mansfield","1989-09-15","4.55","2.18","Rain"
"Mt. Mansfield","1989-09-17","4.44","0.43","Rain"
"Mt. Mansfield","1989-09-20","4.96","2.34","Rain"
"Mt. Mansfield","1989-09-23","4.15","1.20","Rain"
"Mt. Mansfield","1989-10-02","4.86","0.25","Rain"
"Mt. Mansfield","1989-10-07","4.23","0.41","Mixed"
"Mt. Mansfield","1989-10-18","3.91","1.53","Mixed"
"Mt. Mansfield","1989-10-21","4.79","2.34","Rain"
"Mt. Mansfield","1989-10-27","3.72","0.12","Rain"
"Mt. Mansfield","1989-11-01","4.57","1.26","Rain"
"Mt. Mansfield","1989-11-04","4.32","0.62","Snow"
"Mt. Mansfield","1989-11-09","4.04","0.99","Rain"
"Mt. Mansfield","1989-11-16","4.49","1.15","Rain"
"Mt. Mansfield","1989-11-20","4.09","0.40","Snow"
"Mt. Mansfield","1989-11-22","4.25","1.38","Snow"
"Mt. Mansfield","1989-11-25","4.26","0.35","Snow"
"Mt. Mansfield","1989-11-27","3.92","0.33","Snow"
"Mt. Mansfield","1989-11-29","3.96","0.18","Snow"
"Mt. Mansfield","1989-11-30","4.53","0.50","Snow"
"Mt. Mansfield","1989-12-03","4.19","0.50","Snow"
"Mt. Mansfield","1989-12-07","4.75","0.66","Snow"
"Mt. Mansfield","1989-12-16","5.21","0.41","Snow"
"Mt. Mansfield","1989-12-17","5.04","0.12","Snow"
"Mt. Mansfield","1989-12-27","4.31","0.37","Snow"
"Mt. Mansfield","1990-01-01","3.98","1.24","Rain"
"Mt. Mansfield","1990-01-07","4.17","0.29","Snow"
"Mt. Mansfield","1990-01-13","4.50","0.75","Snow"
"Mt. Mansfield","1990-01-18","3.97","0.85","Rain"
"Mt. Mansfield","1990-01-22","4.07","0.53","Snow"
"Mt. Mansfield","1990-01-30","4.46","1.26","Snow"
"Mt. Mansfield","1990-02-04","4.51","0.80","Snow"
"Mt. Mansfield","1990-02-16","4.15","1.48","Mixed"
"Mt. Mansfield","1990-02-23","4.07","0.61","Snow"
"Mt. Mansfield","1990-02-27","4.18","0.24","Snow"
"Mt. Mansfield","1990-03-13","3.97","0.47","Rain"
"Mt. Mansfield","1990-03-17","3.96","1.12","Rain"
"Mt. Mansfield","1990-03-21","4.57","2.30","Snow"
"Mt. Mansfield","1990-03-26","4.76","0.22","Snow"
"Mt. Mansfield","1990-03-30","4.68","0.60","Snow"
"Mt. Mansfield","1990-04-02","3.88","0.28","Snow"
"Mt. Mansfield","1990-04-04","4.26","1.12","Snow"
"Mt. Mansfield","1990-04-06","4.55","0.86","Snow"
"Mt. Mansfield","1990-04-10","4.09","0.33","Rain"
"Mt. Mansfield","1990-04-11","4.11","1.24","Rain"
"Mt. Mansfield","1990-04-21","3.88","0.97","Rain"
"Mt. Mansfield","1990-04-25","3.57","0.26","Rain"
"Mt. Mansfield","1990-05-05","3.80","1.02","Snow"
"Mt. Mansfield","1990-05-11","4.36","1.63","Rain"
"Mt. Mansfield","1990-05-18","4.23","1.58","Rain"
"Mt. Mansfield","1990-05-20","4.77","0.60","Mixed"
"Mt. Mansfield","1990-05-22","4.32","0.29","Mixed"
"Mt. Mansfield","1990-06-04","4.09","1.57","Rain"
"Mt. Mansfield","1990-06-06","4.27","0.06","Rain"
"Mt. Mansfield","1990-06-11","4.65","0.43","Rain"
"Mt. Mansfield","1990-06-18","3.88","0.30","Rain"
"Mt. Mansfield","1990-06-24","4.15","1.09","Rain"
"Mt. Mansfield","1990-06-29","4.19","0.97","Rain"
"Mt. Mansfield","1990-07-01","4.71","0.30","Rain"
"Mt. Mansfield","1990-07-05","4.15","4.24","Rain"
"Mt. Mansfield","1990-07-09","4.01","0.55","Rain"
"Mt. Mansfield","1990-07-16","4.47","0.92","Rain"
"Mt. Mansfield","1990-07-20","3.94","1.29","Rain"
"Mt. Mansfield","1990-07-23","4.19","3.25","Rain"
"Mt. Mansfield","1990-07-31","4.34","0.37","Rain"
"Mt. Mansfield","1990-08-07","4.69","2.95","Rain"
"Mt. Mansfield","1990-08-14","4.46","2.89","Rain"
"Mt. Mansfield","1990-08-16","3.85","0.58","Rain"
"Mt. Mansfield","1990-08-19","3.75","0.25","Rain"
"Mt. Mansfield","1990-08-24","5.37","0.17","Rain"
"Mt. Mansfield","1990-08-28","4.65","0.60","Rain"
"Mt. Mansfield","1990-08-29","4.72","2.06","Rain"
"Mt. Mansfield","1990-09-15","4.70","1.21","Rain"
"Mt. Mansfield","1990-09-16","4.41","0.29","Rain"
"Mt. Mansfield","1990-09-20","4.49","0.80","Rain"
"Mt. Mansfield","1990-09-22","4.61","0.32","Rain"
"Mt. Mansfield","1990-09-23","4.14","0.50","Rain"
"Mt. Mansfield","1990-09-30","4.13","1.02","Rain"
"Mt. Mansfield","1990-10-01","4.64","0.55","Rain"
"Mt. Mansfield","1990-10-02","4.42","0.64","Rain"
"Mt. Mansfield","1990-10-05","4.35","1.30","Rain"
"Mt. Mansfield","1990-10-12","4.27","0.77","Rain"
"Mt. Mansfield","1990-10-14","4.81","1.83","Rain"
"Mt. Mansfield","1990-10-23","4.79","0.73","Rain"
"Mt. Mansfield","1990-10-24","4.88","0.50","Rain"
"Mt. Mansfield","1990-10-29","4.84","0.84","Rain"
"Mt. Mansfield","1990-11-05","4.19","0.99","Rain"
"Mt. Mansfield","1990-11-08","4.56","0.20","Snow"
"Mt. Mansfield","1990-11-10","5.97","0.78","Snow"
"Mt. Mansfield","1990-11-11","5.29","1.90","Snow"
"Mt. Mansfield","1990-11-12","4.73","1.32","Snow"
"Mt. Mansfield","1990-11-14","4.67","0.90","Snow"
"Mt. Mansfield","1990-11-18","4.01","0.67","Rain"
"Mt. Mansfield","1990-11-24","4.44","0.86","Mixed"
"Mt. Mansfield","1990-12-04","4.58","1.09","Rain"
"Mt. Mansfield","1990-12-05","4.28","0.81","Snow"
"Mt. Mansfield","1990-12-06","4.31","0.19","Snow"
"Mt. Mansfield","1990-12-11","4.71","0.10","Snow"
"Mt. Mansfield","1990-12-13","3.95","0.25","Mixed"
"Mt. Mansfield","1990-12-18","4.43","0.17","Snow"
"Mt. Mansfield","1990-12-20","4.32","0.93","Snow"
"Mt. Mansfield","1990-12-22","4.24","1.28","Rain"
"Mt. Mansfield","1990-12-24","4.34","1.93","Rain"
"Mt. Mansfield","1990-12-27","4.27","0.05","Snow"
"Mt. Mansfield","1990-12-30","4.40","1.51","Rain"
"Mt. Mansfield","1990-12-31","5.18","0.47","Rain"
"Mt. Mansfield","1991-01-03","4.09","0.07","Snow"
"Mt. Mansfield","1991-01-05","4.21","0.18","Snow"
"Mt. Mansfield","1991-01-10","4.24","0.24","Snow"
"Mt. Mansfield","1991-01-15","4.30","0.16","Snow"
"Mt. Mansfield","1991-01-17","4.32","1.33","Snow"
"Mt. Mansfield","1991-01-19","4.39","0.65","Snow"
"Mt. Mansfield","1991-01-24","4.25","0.22","Snow"
"Mt. Mansfield","1991-01-26","4.56","0.07","Snow"
"Mt. Mansfield","1991-01-31","4.21","1.30","Snow"
"Mt. Mansfield","1991-02-02","4.23","0.16","Snow"
"Mt. Mansfield","1991-02-07","4.29","0.27","Snow"
"Mt. Mansfield","1991-02-12","5.81","0.15","Snow"
"Mt. Mansfield","1991-02-16","4.25","0.50","Snow"
"Mt. Mansfield","1991-02-17","4.53","0.24","Snow"
"Mt. Mansfield","1991-02-21","4.05","0.61","Snow"
"Mt. Mansfield","1991-02-23","4.51","0.47","Snow"
"Mt. Mansfield","1991-02-27","4.30","0.25","Snow"
"Mt. Mansfield","1991-03-02","4.04","0.50","Rain"
"Mt. Mansfield","1991-03-05","4.66","1.35","Mixed"
"Mt. Mansfield","1991-03-07","4.55","0.65","Snow"
"Mt. Mansfield","1991-03-08","4.59","0.18","Snow"
"Mt. Mansfield","1991-03-12","5.32","0.28","Snow"
"Mt. Mansfield","1991-03-19","4.15","0.32","Snow"
"Mt. Mansfield","1991-03-22","4.12","0.02","Snow"
"Mt. Mansfield","1991-03-26","4.38","0.41","Mixed"
"Mt. Mansfield","1991-03-28","4.11","0.36","Rain"
"Mt. Mansfield","1991-04-08","4.00","0.53","Rain"
"Mt. Mansfield","1991-04-09","4.25","1.19","Rain"
"Mt. Mansfield","1991-04-11","4.23","1.13","Rain"
"Mt. Mansfield","1991-04-16","4.09","0.61","Rain"
"Mt. Mansfield","1991-04-18","4.05","0.20","Rain"
"Mt. Mansfield","1991-04-23","4.39","0.60","Rain"
"Mt. Mansfield","1991-04-30","4.13","0.63","Rain"
"Mt. Mansfield","1991-05-02","4.16","1.24","Rain"
"Mt. Mansfield","1991-05-04","4.32","1.00","Rain"
"Mt. Mansfield","1991-05-07","4.38","0.68","Rain"
"Mt. Mansfield","1991-05-18","4.03","0.88","Rain"
"Mt. Mansfield","1991-05-25","4.32","0.82","Rain"
"Mt. Mansfield","1991-05-27","4.69","0.72","Rain"
"Mt. Mansfield","1991-05-28","4.08","0.25","Rain"
"Mt. Mansfield","1991-05-30","4.00","0.18","Rain"
"Mt. Mansfield","1991-05-31","4.15","1.15","Rain"
"Mt. Mansfield","1991-06-17","4.45","2.51","Rain"
"Mt. Mansfield","1991-07-05","4.57","0.22","Rain"
"Mt. Mansfield","1991-07-06","4.30","0.51","Rain"
"Mt. Mansfield","1991-07-09","4.60","0.47","Rain"
"Mt. Mansfield","1991-07-13","3.90","0.55","Rain"
"Mt. Mansfield","1991-07-15","4.38","0.42","Rain"
"Mt. Mansfield","1991-07-18","3.95","0.21","Rain"
"Mt. Mansfield","1991-07-23","4.38","1.22","Rain"
"Mt. Mansfield","1991-07-26","3.66","0.29","Rain"
"Mt. Mansfield","1991-07-31","4.17","0.20","Rain"
"Mt. Mansfield","1991-08-05","4.95","2.61","Rain"
"Mt. Mansfield","1991-08-06","4.63","1.35","Rain"
"Mt. Mansfield","1991-08-10","3.84","1.10","Rain"
"Mt. Mansfield","1991-08-20","4.51","1.43","Rain"
"Mt. Mansfield","1991-08-22","4.89","0.41","Rain"
"Mt. Mansfield","1991-08-28","3.64","0.34","Rain"
"Mt. Mansfield","1991-09-12","4.19","1.80","Rain"
"Mt. Mansfield","1991-09-16","4.08","1.02","Rain"
"Mt. Mansfield","1991-09-18","3.94","0.34","Rain"
"Mt. Mansfield","1991-09-21","3.96","2.51","Mixed"
"Mt. Mansfield","1991-09-23","3.43","0.01","Rain"
"Mt. Mansfield","1991-09-25","4.20","1.17","Rain"
"Mt. Mansfield","1991-09-30","4.57","0.51","Rain"
"Mt. Mansfield","1991-10-02","3.85","0.60","Rain"
"Mt. Mansfield","1991-10-06","4.07","2.45","Rain"
"Mt. Mansfield","1991-10-12","4.77","0.62","Snow"
"Mt. Mansfield","1991-10-18","3.58","1.86","Rain"
"Mt. Mansfield","1991-11-08","3.88","0.08","Snow"
"Mt. Mansfield","1991-11-15","4.00","0.52","Rain"
"Mt. Mansfield","1991-11-16","4.03","0.73","Mixed"
"Mt. Mansfield","1991-11-21","3.94","0.08","Rain"
"Mt. Mansfield","1991-11-23","4.35","0.09","Rain"
"Mt. Mansfield","1991-11-24","4.00","0.18","Rain"
"Mt. Mansfield","1991-11-25","4.12","1.14","Snow"
"Mt. Mansfield","1991-12-05","3.58","0.57","Snow"
"Mt. Mansfield","1991-12-06","3.83","0.17","Snow"
"Mt. Mansfield","1991-12-10","4.10","0.32","Rain"
"Mt. Mansfield","1991-12-14","3.64","0.44","Rain"
"Mt. Mansfield","1991-12-16","4.27","0.61","Snow"
"Mt. Mansfield","1991-12-19","4.11","0.24","Snow"
"Mt. Mansfield","1991-12-25","4.08","0.35","Snow"
"Mt. Mansfield","1991-12-27","4.01","0.30","Snow"
"Mt. Mansfield","1992-01-04","3.55","0.11","Rain"
"Mt. Mansfield","1992-01-06","5.36","0.65","Snow"
"Mt. Mansfield","1992-01-09","3.47","0.49","Snow"
"Mt. Mansfield","1992-01-11","3.35","0.50","Snow"
"Mt. Mansfield","1992-01-15","3.58","1.42","Snow"
"Mt. Mansfield","1992-01-21","3.87","0.12","Snow"
"Mt. Mansfield","1992-01-22","3.91","0.02","Snow"
"Mt. Mansfield","1992-01-25","4.01","0.40","Rain"
"Mt. Mansfield","1992-02-01","3.46","0.05","Snow"
"Mt. Mansfield","1992-02-06","3.76","1.13","Snow"
"Mt. Mansfield","1992-02-13","3.29","1.25","Snow"
"Mt. Mansfield","1992-02-15","3.48","0.22","Snow"
"Mt. Mansfield","1992-02-16","3.64","0.82","Snow"
"Mt. Mansfield","1992-02-20","3.74","1.03","Snow"
"Mt. Mansfield","1992-02-21","3.65","0.47","Snow"
"Mt. Mansfield","1992-02-25","3.67","0.30","Snow"
"Mt. Mansfield","1992-02-27","3.91","0.61","Snow"
"Mt. Mansfield","1992-02-29","4.08","0.60","Snow"
"Mt. Mansfield","1992-03-02","4.02","0.38","Snow"
"Mt. Mansfield","1992-03-07","3.69","0.34","Rain"
"Mt. Mansfield","1992-03-11","4.15","0.64","Rain"
"Mt. Mansfield","1992-03-12","3.96","1.27","Snow"
"Mt. Mansfield","1992-03-13","4.08","0.51","Snow"
"Mt. Mansfield","1992-03-31","4.80","1.80","Snow"
"Mt. Mansfield","1992-04-02","4.62","0.69","Snow"
"Mt. Mansfield","1992-04-03","5.15","0.45","Snow"
"Mt. Mansfield","1992-04-08","4.97","0.07","Rain"
"Mt. Mansfield","1992-04-11","4.38","0.70","Snow"
"Mt. Mansfield","1992-04-13","4.33","0.81","Rain"
"Mt. Mansfield","1992-04-17","4.12","0.55","Snow"
"Mt. Mansfield","1992-04-22","4.49","0.18","Rain"
"Mt. Mansfield","1992-04-23","4.26","0.55","Rain"
